gemeente,pop_total,hh_total,pon_dealers,total_dealers,pon_share,dealers_per_100k,pon_dealers_per_100k,coverage_category,market_size_score,kids_0_15_pct,age_25_44_pct,income_norm,density_norm,cluster
Heteren,5050.0,2075.0,2,2,1.0,39.603960396039604,39.603960396039604,High_Coverage,0.008051914920756402,0.1495049504950495,0.20693069306930692,0.1520935960591133,0.047201905085898964,1
Heukelum,2400.0,1020.0,0,1,0.0,41.66666666666667,0.0,Underserved,0.0038266526356070026,0.1375,0.19791666666666666,0.17795566502463053,0.02627997958836537,1
Heusden Gem Asten,2550.0,1010.0,0,1,0.0,39.2156862745098,0.0,Underserved,0.004065818425332441,0.14901960784313725,0.23921568627450981,0.23460591133004927,0.01581901683959857,4
Heythuysen,6625.0,3030.0,1,1,1.0,15.09433962264151,15.09433962264151,High_Coverage,0.010563155712873497,0.11471698113207547,0.18566037735849056,0.13608374384236452,0.05715257696887226,1
Hierden,3425.0,1405.0,0,1,0.0,29.197080291970806,0.0,Underserved,0.005460952198730827,0.15766423357664233,0.21897810218978103,0.25862068965517243,0.020751828542269094,4
Hillegom,9810.0,4465.0,1,1,1.0,10.193679918450561,10.193679918450561,High_Coverage,0.015641442648043624,0.15494393476044852,0.25535168195718655,0.19027093596059114,0.15036570845381866,1
Hilvarenbeek,8805.0,3840.0,1,2,0.5,22.714366837024418,11.357183418512209,High_Coverage,0.014039031856883192,0.14480408858603067,0.1890971039182283,0.20381773399014777,0.07288654533083858,1
Hilversum,35155.0,16835.0,5,9,0.5555555555555556,25.60091025458683,14.222727919214906,High_Coverage,0.05605248891865174,0.16367928467243928,0.27136194781500256,0.2518472906403941,0.2706455179452288,0
Hippolytushoef,5165.0,2395.0,0,1,0.0,19.36108422071636,0.0,Underserved,0.008235275359545904,0.1393998063891578,0.2042594385285576,0.1188423645320197,0.04864772920564722,1
Hoek,2900.0,1320.0,1,1,1.0,34.48275862068965,34.48275862068965,High_Coverage,0.004623871934691795,0.14482758620689656,0.21379310344827587,0.0708128078817734,0.027895900663378125,1
Hoek van Holland,10560.0,4960.0,1,2,0.5,18.939393939393938,9.469696969696969,High_Coverage,0.01683727159667081,0.14772727272727273,0.2168560606060606,0.15948275862068967,0.0886205136928049,2
Hoenderloo,1335.0,650.0,0,1,0.0,74.90636704119851,0.0,Underserved,0.0021285755285563954,0.09363295880149813,0.1760299625468165,0.27032019704433496,0.010120768838237796,4
Hoensbroek,14845.0,7615.0,1,3,0.3333333333333333,20.20882452004042,6.736274840013472,High_Coverage,0.02366944098982748,0.13272258032951306,0.2349959330699512,0.0581896551724138,0.1465385269603674,1
Hoevelaken,9825.0,4025.0,0,1,0.0,10.178117048346055,0.0,Underserved,0.015665359227016167,0.17659033078880407,0.20966921119592874,0.23214285714285715,0.08496342915461813,4
Hoeven,6850.0,2920.0,1,1,1.0,14.598540145985403,14.598540145985403,High_Coverage,0.010921904397461654,0.14014598540145987,0.1948905109489051,0.18719211822660098,0.04983840789249872,1
Hollandscheveld,5270.0,2125.0,0,1,0.0,18.975332068311197,0.0,Underserved,0.00840269141235371,0.16603415559772297,0.222011385199241,0.12746305418719212,0.0332539547542099,1
Hollum,1305.0,605.0,0,1,0.0,76.62835249042146,0.0,Underserved,0.0020807423706113077,0.1417624521072797,0.210727969348659,0.1330049261083744,0.02730056131995237,1
Holten,9600.0,4055.0,1,2,0.5,20.833333333333336,10.416666666666668,High_Coverage,0.01530661054242801,0.14635416666666667,0.20572916666666666,0.1810344827586207,0.039122299710835175,1
Honselersdijk,7790.0,3535.0,1,1,1.0,12.836970474967908,12.836970474967908,High_Coverage,0.012420676679741062,0.14249037227214378,0.2612323491655969,0.2001231527093596,0.0682088790610648,1
Hoofddorp,53180.0,23055.0,2,4,0.5,7.5216246709289205,3.7608123354644603,Good_Coverage,0.0847922446506585,0.15933784889325775,0.25897809568328173,0.21695402298850575,0.16490899812893348,1
Hoogerheide,9395.0,4135.0,1,2,0.5,21.287919105907395,10.643959552953698,High_Coverage,0.014979750629803246,0.14741883980840872,0.2192655667908462,0.13916256157635468,0.07560809661507059,1
Hoogersmilde,1400.0,615.0,0,1,0.0,71.42857142857143,0.0,Underserved,0.0022322140374374183,0.14285714285714285,0.21785714285714286,0.10591133004926108,0.012161932301411806,1
Hoogeveen,10285.0,5230.0,1,4,0.25,38.891589693728726,9.722897423432181,High_Coverage,0.016398800982174177,0.1250626185686574,0.2217911467517629,0.08004926108374384,0.16269773771049498,2
Hoogezand,10570.0,5340.0,2,3,0.6666666666666666,28.38221381267739,18.921475875118258,High_Coverage,0.01685321598265251,0.15177940289430264,0.22877004601173473,0.09390394088669951,0.12400068038782106,1
Hooghalen,1530.0,660.0,1,2,0.5,130.718954248366,65.359477124183,High_Coverage,0.002439491055199464,0.13071895424836602,0.19934640522875818,0.14839901477832512,0.011991835346147305,4
Hoogkarspel,8595.0,3640.0,1,1,1.0,11.634671320535196,11.634671320535196,High_Coverage,0.013704199751267578,0.16579406631762653,0.2326934264107039,0.1724137931034483,0.07263139989794183,1
Hoogland,10135.0,4295.0,2,4,0.5,39.46719289590528,19.73359644795264,High_Coverage,0.01615963519244874,0.14257523433645783,0.1914158855451406,0.2315270935960591,0.14458241197482566,4
Hooglanderveen,4870.0,1750.0,1,1,1.0,20.533880903490758,20.533880903490758,High_Coverage,0.0077649159730858765,0.2268993839835729,0.24435318275154005,0.2746305418719212,0.0995917673073652,0
Hoogvliet Rotterdam,9810.0,4430.0,0,1,0.0,10.193679918450561,0.0,Underserved,0.015641442648043624,0.14984709480122324,0.24515800203873597,0.11514778325123153,0.20513692804898792,2
Hoogwoud,3975.0,1735.0,1,1,1.0,25.157232704402514,25.157232704402514,High_Coverage,0.006337893427724098,0.14465408805031446,0.22264150943396227,0.16133004926108374,0.040823269263480184,1
Hoorn,44865.0,21180.0,1,8,0.125,17.831271592555442,2.2289089490694303,Good_Coverage,0.07153448770687841,0.13678164943410057,0.23522076462380204,0.15283251231527092,0.17062425582582072,1
Horssen,1665.0,665.0,0,1,0.0,60.06006006006006,0.0,Underserved,0.0026547402659523583,0.14714714714714713,0.21021021021021022,0.19642857142857142,0.012246980779044054,4
Horst,13365.0,6080.0,1,2,0.5,14.964459408903853,7.482229704451926,High_Coverage,0.021309671864536497,0.13206135428357652,0.22783389450056116,0.13423645320197045,0.09687021602313318,1
Houten,28035.0,11705.0,1,3,0.3333333333333333,10.700909577314071,3.5669698591046908,Good_Coverage,0.0447000860996843,0.18131657533240442,0.2606329756757247,0.22536945812807882,0.15518512218631286,0
Huissen,9380.0,4255.0,2,2,1.0,21.321961620469082,21.321961620469082,High_Coverage,0.014955834050830702,0.13805970149253732,0.20042643923240938,0.16748768472906403,0.0987412825310427,1
Huizen,17005.0,8075.0,2,5,0.4,29.403116730373416,11.761246692149369,High_Coverage,0.027113428361873783,0.14801168801511344,0.21158404091151295,0.1918103448275862,0.17524238816125193,1
Hulst,9930.0,4920.0,0,1,0.0,10.070493454179255,0.0,Underserved,0.015832775279823973,0.1203423967774421,0.1973816717019134,0.10591133004926108,0.07288654533083858,1
