name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Janus van Nispen,giant,www.janusvannispen.nl,ChIJJ0vq9g2gxkcREdNpm3zBz3k,82,Mastbosstraat,Netherlands,4813 GV,Company Janus van Nispen,"80-84, Mastbosstraat 82, 4813 GV Breda, Netherlands",4.4,75,51.5710439,4.7428957,https://www.google.com/maps/place/?q=place_id:ChIJJ0vq9g2gxkcREdNpm3zBz3k
Plieger Sport,giant,www.pliegersport.nl,ChIJ1-UGN1V9xkcRWPbiLx3frDI,78a,Gorinchemsestraat,Netherlands,4231 BJ,Plieger Sports,"Gorinchemsestraat 78a, 4231 BJ Meerkerk, Netherlands",4.6,64,51.9171191,4.9983651,https://www.google.com/maps/place/?q=place_id:ChIJ1-UGN1V9xkcRWPbiLx3frDI
Tweewielers ten Brincke,giant,www.tweewielerstenbrincke.nl,ChIJjSPW0YoSuEcRoVQJGd3hVzE,48,Windmolenweg,Netherlands,7548 BM,Tweewielers Bennie ten Brincke,"Windmolenweg 48, 7548 BM Enschede, Netherlands",4.9,62,52.2060954,6.8010981,https://www.google.com/maps/place/?q=place_id:ChIJjSPW0YoSuEcRoVQJGd3hVzE
Van Kortenhof Maassluis BV,giant,www.vankortenhof.nl,ChIJ261oSr5MxEcR0VVCSfNJ3C8,101,Heldringstraat,Netherlands,3144 CE,Van Kortenhof Maassluis,"Heldringstraat 101, 3144 CE Maassluis, Netherlands",3.9,49,51.9250883,4.2484500,https://www.google.com/maps/place/?q=place_id:ChIJ261oSr5MxEcR0VVCSfNJ3C8
Edwin Groen Tweewielers BV,giant,www.edwingroen.nl,ChIJH0odaZRTz0cRq2mNUYO4GuE,554,Middenweg,Netherlands,1704 BP,Edwin Groen Tweewielers,"Middenweg 554, 1704 BP Heerhugowaard, Netherlands",4.3,261,52.7067349,4.8521484,https://www.google.com/maps/place/?q=place_id:ChIJH0odaZRTz0cRq2mNUYO4GuE
Van Hoydonck Tweewielers,giant,,ChIJbxpPcPocxEcRYl1qtO1jTUk,95A,Wernhoutseweg,Netherlands,4884 AS,Van Hoydonck Tweewielers,"Wernhoutseweg 95A, 4884 AS Wernhout, Netherlands",4.8,64,51.4576420,4.6473278,https://www.google.com/maps/place/?q=place_id:ChIJbxpPcPocxEcRYl1qtO1jTUk
Broqua,giant,www.broqua.nl,ChIJxYwrXCzrwEcRjTvEia3qBEA,5-A,Rijksweg,Netherlands,6269 AA,Broqua Tweewielers,"Rijksweg 5-A, 6269 AA Margraten, Netherlands",4.4,62,50.8189830,5.8201588,https://www.google.com/maps/place/?q=place_id:ChIJxYwrXCzrwEcRjTvEia3qBEA
Jan Terpstra Cycling World,giant,www.cyclingworld.nl,ChIJqa9s-pj-yEcRuCdImr3hunY,150,Verlengde Schrans,Netherlands,8932 NT,Jan Terpstra Cycling World,"Verlengde Schrans 150, 8932 NT Leeuwarden, Netherlands",4.4,74,53.1871386,5.7964767,https://www.google.com/maps/place/?q=place_id:ChIJqa9s-pj-yEcRuCdImr3hunY
Olaf's Bike Clean&Repair,giant,www.olafsbike.nl,ChIJaRmLTom9xEcR23PsN2U9FkM,90,Markt,Netherlands,4361 AG,Olaf's Bike clean & repair,"Markt 90, 4361 AG Westkapelle, Netherlands",4.8,48,51.5271169,3.4400195,https://www.google.com/maps/place/?q=place_id:ChIJaRmLTom9xEcR23PsN2U9FkM
Willy's Bikeshop,giant,www.willysbikeshop.nl,ChIJKX5e3BPaxkcRvcIZIo8ZG9E,74,Dorpstraat,Netherlands,5504 HK,Willy's Bikeshop Fietsen - Scooters - Tweewielers,"Dorpstraat 74, 5504 HK Veldhoven, Netherlands",4.6,48,51.4047770,5.4050550,https://www.google.com/maps/place/?q=place_id:ChIJKX5e3BPaxkcRvcIZIo8ZG9E
